id,REF_AREA,TIME_PERIOD,RIVER_FLOOD_VALUE,TERRITORIAL_LEVEL
MEX78F2000,MEX78F,2000,25.6,FUA
MEX78F2015,MEX78F,2015,26.1,FUA
USA39F2000,USA39F,2000,1.4,FUA
USA39F2015,USA39F,2015,1.4,FUA
DE106C2000,DE106C,2000,8.3,CITY
DE106C2015,DE106C,2015,8.2,CITY
FR012C2000,FR012C,2000,73.0,CITY
FR012C2015,FR012C,2015,72.9,CITY
ES070C2000,ES070C,2000,6.4,CITY
ES070C2015,ES070C,2015,6.8,CITY
FR067C2000,FR067C,2000,37.9,CITY
FR067C2015,FR067C,2015,36.1,CITY
PL058F2000,PL058F,2000,3.5,FUA
PL058F2015,PL058F,2015,3.6,FUA
CAN01F2000,CAN01F,2000,0.2,FUA
CAN01F2015,CAN01F,2015,0.2,FUA
UK034C2000,UK034C,2000,0.4,CITY
UK034C2015,UK034C,2015,0.4,CITY
IT033F2000,IT033F,2000,22.0,FUA
IT033F2015,IT033F,2015,22.1,FUA
SI002C2000,SI002C,2000,11.3,CITY
SI002C2015,SI002C,2015,11.8,CITY
DE021C2000,DE021C,2000,8.8,CITY
DE021C2015,DE021C,2015,9.2,CITY
JPN31C2000,JPN31C,2000,0.0,CITY
JPN31C2015,JPN31C,2015,0.0,CITY
USA179C2000,USA179C,2000,0.0,CITY
USA179C2015,USA179C,2015,0.0,CITY
PL043F2000,PL043F,2000,0.0,FUA
PL043F2015,PL043F,2015,0.0,FUA
COL09F2000,COL09F,2000,0.0,FUA
COL09F2015,COL09F,2015,0.0,FUA
NL033F2000,NL033F,2000,40.9,FUA
NL033F2015,NL033F,2015,42.4,FUA
DE120C2000,DE120C,2000,9.7,CITY
DE120C2015,DE120C,2015,9.7,CITY
USA100F2000,USA100F,2000,0.1,FUA
USA100F2015,USA100F,2015,0.1,FUA
TR015C2000,TR015C,2000,1.7,CITY
TR015C2015,TR015C,2015,1.9,CITY
CH006C2000,CH006C,2000,11.2,CITY
CH006C2015,CH006C,2015,11.2,CITY
ES061F2000,ES061F,2000,0.9,FUA
ES061F2015,ES061F,2015,1.1,FUA
USA143C2000,USA143C,2000,0.2,CITY
USA143C2015,USA143C,2015,0.2,CITY
USA180C2000,USA180C,2000,1.7,CITY
USA180C2015,USA180C,2015,1.7,CITY
RO028F2000,RO028F,2000,8.8,FUA
RO028F2015,RO028F,2015,9.8,FUA
USA15C2000,USA15C,2000,3.9,CITY
USA15C2015,USA15C,2015,3.9,CITY
UK592C2000,UK592C,2000,8.1,CITY
UK592C2015,UK592C,2015,8.2,CITY
CL007C2000,CL007C,2000,8.5,CITY
CL007C2015,CL007C,2015,10.4,CITY
USA36F2000,USA36F,2000,10.8,FUA
USA36F2015,USA36F,2015,10.6,FUA
USA199F2000,USA199F,2000,0.1,FUA
USA199F2015,USA199F,2015,0.1,FUA
FR058C2000,FR058C,2000,0.0,CITY
FR058C2015,FR058C,2015,0.0,CITY
PL002C2000,PL002C,2000,0.0,CITY
PL002C2015,PL002C,2015,0.0,CITY
UK525C2000,UK525C,2000,1.9,CITY
UK525C2015,UK525C,2015,1.9,CITY
FR037C2000,FR037C,2000,0.0,CITY
FR037C2015,FR037C,2015,0.0,CITY
USA06F2000,USA06F,2000,5.1,FUA
USA06F2015,USA06F,2015,4.9,FUA
TR022C2000,TR022C,2000,0.0,CITY
TR022C2015,TR022C,2015,0.0,CITY
TR016F2000,TR016F,2000,4.8,FUA
TR016F2015,TR016F,2015,5.4,FUA
ES033F2000,ES033F,2000,8.9,FUA
ES033F2015,ES033F,2015,10.0,FUA
COL34C2000,COL34C,2000,0.1,CITY
COL34C2015,COL34C,2015,0.2,CITY
UK562C2000,UK562C,2000,7.2,CITY
UK562C2015,UK562C,2015,7.2,CITY
USA70F2000,USA70F,2000,7.7,FUA
USA70F2015,USA70F,2015,7.5,FUA
IT058C2000,IT058C,2000,1.4,CITY
IT058C2015,IT058C,2015,1.5,CITY
SK002F2000,SK002F,2000,20.9,FUA
SK002F2015,SK002F,2015,20.5,FUA
USA29F2000,USA29F,2000,23.0,FUA
USA29F2015,USA29F,2015,22.0,FUA
PL028F2000,PL028F,2000,0.2,FUA
PL028F2015,PL028F,2015,0.3,FUA
USA211F2000,USA211F,2000,9.6,FUA
USA211F2015,USA211F,2015,9.7,FUA
FR057F2000,FR057F,2000,0.6,FUA
FR057F2015,FR057F,2015,0.5,FUA
TR016C2000,TR016C,2000,4.8,CITY
TR016C2015,TR016C,2015,5.4,CITY
MEX35C2000,MEX35C,2000,85.6,CITY
MEX35C2015,MEX35C,2015,85.5,CITY
ES090F2000,ES090F,2000,1.8,FUA
ES090F2015,ES090F,2015,1.9,FUA
USA177F2000,USA177F,2000,9.4,FUA
USA177F2015,USA177F,2015,9.3,FUA
USA112C2000,USA112C,2000,71.0,CITY
USA112C2015,USA112C,2015,71.3,CITY
DE112F2000,DE112F,2000,34.1,FUA
